age,workclass,education-num,occupation,race,sex,capital-gain,capital-loss,hours-per-week,income_50k
26,Private,13,Prof-specialty,White,Female,0,0,55,0
37,Self-emp-not-inc,9,Transport-moving,White,Male,0,0,30,0
37,Private,9,Prof-specialty,Amer-Indian-Eskimo,Female,0,0,40,0
28,Private,13,Other-service,White,Female,0,0,48,1
47,Private,10,Exec-managerial,Black,Male,0,0,40,0
59,Private,10,Sales,White,Male,4064,0,40,0
20,Private,9,Transport-moving,White,Female,0,0,35,0
19,Private,9,Tech-support,White,Female,0,0,55,0
22,Private,10,Handlers-cleaners,White,Male,0,0,35,0
47,Private,9,Adm-clerical,White,Female,0,0,40,0
47,Self-emp-inc,9,Farming-fishing,White,Male,15024,0,40,1
61,Private,10,Exec-managerial,White,Male,0,0,45,1
43,Private,10,Craft-repair,White,Male,0,1902,40,1
44,Private,8,Transport-moving,Black,Male,0,0,40,0
32,Private,10,Craft-repair,White,Male,0,0,40,0
39,Private,15,Prof-specialty,Asian-Pac-Islander,Male,0,2415,67,1
43,Private,10,Exec-managerial,Black,Male,0,0,40,1
36,Private,13,Sales,White,Male,0,1902,40,1
20,Private,10,Other-service,White,Male,0,0,20,0
48,Self-emp-not-inc,9,Other-service,White,Female,0,0,45,0
36,Private,11,Tech-support,White,Female,0,0,40,0
29,Private,4,Handlers-cleaners,White,Male,0,0,30,0
41,Private,12,Sales,White,Male,0,0,45,1
39,Private,9,Protective-serv,White,Female,0,0,15,1
22,Private,8,Machine-op-inspct,White,Male,0,0,60,0
26,Private,9,Sales,Black,Female,0,0,37,0
31,Private,13,Prof-specialty,White,Male,7688,0,40,1
39,Private,5,Craft-repair,White,Male,0,0,40,0
43,Private,13,Prof-specialty,White,Female,0,0,38,0
26,Private,9,Craft-repair,White,Male,0,0,35,0
43,Local-gov,10,Adm-clerical,White,Female,0,0,20,0
32,Local-gov,11,Protective-serv,Asian-Pac-Islander,Female,0,0,50,0
47,State-gov,14,Exec-managerial,White,Male,0,0,47,1
37,Private,10,Adm-clerical,White,Female,0,0,45,0
51,Private,10,Craft-repair,White,Male,0,0,50,1
18,Private,10,Adm-clerical,White,Male,0,0,50,0
25,Local-gov,13,Prof-specialty,White,Female,0,0,40,0
21,Private,12,Sales,White,Female,0,0,32,0
31,Private,9,Craft-repair,Amer-Indian-Eskimo,Male,0,0,45,0
50,Self-emp-not-inc,16,Prof-specialty,White,Female,0,0,60,1
48,Private,9,Adm-clerical,White,Female,0,0,40,0
49,Self-emp-not-inc,13,Exec-managerial,White,Male,0,0,60,1
32,State-gov,13,Prof-specialty,White,Female,0,0,40,0
54,Self-emp-not-inc,13,Exec-managerial,White,Female,0,1977,35,1
37,Private,9,Tech-support,White,Male,0,0,80,1
32,Private,8,Farming-fishing,Asian-Pac-Islander,Male,0,0,40,0
47,Federal-gov,9,Adm-clerical,Black,Male,0,0,40,1
34,Private,9,Craft-repair,White,Male,0,0,50,1
19,Private,7,Other-service,White,Female,0,0,15,0
62,Private,4,Craft-repair,White,Male,0,0,40,0
41,Private,14,Sales,White,Male,0,0,20,0
60,Private,3,Machine-op-inspct,White,Female,0,0,40,0
40,Local-gov,13,Prof-specialty,White,Female,0,0,40,0
50,Private,15,Prof-specialty,Asian-Pac-Islander,Female,0,1590,25,0
40,Self-emp-not-inc,9,Other-service,White,Male,0,0,40,0
22,Other,10,Other,White,Male,0,0,2,0
50,Self-emp-not-inc,13,Exec-managerial,White,Male,0,0,13,0
34,Local-gov,10,Handlers-cleaners,White,Male,0,0,52,1
46,Private,14,Exec-managerial,White,Male,0,1977,45,1
24,Private,9,Transport-moving,White,Female,0,0,50,0
51,Self-emp-not-inc,14,Exec-managerial,White,Male,25236,0,50,1
21,Private,10,Adm-clerical,White,Female,0,0,40,0
34,Local-gov,1,Adm-clerical,Black,Female,0,0,25,0
27,Private,2,Other-service,Other,Male,0,0,35,0
32,Private,11,Prof-specialty,White,Male,7298,0,42,1
43,Private,13,Handlers-cleaners,Black,Male,0,0,40,1
50,State-gov,16,Prof-specialty,White,Male,0,1902,45,1
30,Private,13,Sales,White,Female,0,0,45,0
51,Private,10,Machine-op-inspct,White,Female,0,0,36,0
18,Local-gov,10,Other-service,White,Male,0,0,15,0
43,Self-emp-inc,15,Prof-specialty,White,Male,0,0,25,1
37,Private,14,Exec-managerial,White,Male,0,0,55,1
46,Self-emp-inc,13,Sales,White,Male,0,0,70,1
43,Private,9,Adm-clerical,White,Female,0,0,40,0
33,Private,9,Sales,White,Male,0,0,60,1
27,Self-emp-not-inc,10,Craft-repair,White,Male,0,0,60,0
30,Private,10,Adm-clerical,White,Male,0,0,45,0
36,Private,5,Farming-fishing,Black,Female,0,0,40,0
29,Private,12,Adm-clerical,White,Male,0,0,40,0
24,Private,12,Handlers-cleaners,White,Male,0,0,30,0
53,Private,9,Exec-managerial,White,Male,0,0,50,1
57,Self-emp-not-inc,9,Other-service,White,Male,0,0,60,0
63,Self-emp-not-inc,13,Prof-specialty,White,Male,0,0,40,1
90,Private,9,Craft-repair,White,Male,9386,0,50,1
27,Private,9,Exec-managerial,White,Male,0,0,45,1
18,Private,10,Other-service,Black,Male,0,0,35,0
47,Private,9,Exec-managerial,White,Female,0,2444,50,1
22,Private,10,Exec-managerial,White,Male,0,0,45,0
35,Private,13,Prof-specialty,White,Female,7298,0,8,1
36,Private,13,Sales,White,Male,0,0,60,0
48,Private,16,Prof-specialty,White,Male,0,0,60,1
44,Private,9,Sales,White,Male,3674,0,50,0
64,Private,14,Prof-specialty,White,Male,0,0,40,1
27,Private,10,Transport-moving,White,Male,0,0,40,1
31,Self-emp-not-inc,9,Craft-repair,White,Male,0,0,45,0
35,Private,10,Exec-managerial,White,Female,0,0,40,1
24,Private,9,Adm-clerical,White,Female,0,0,40,0
68,Other,7,Other,White,Male,0,0,30,0
30,Local-gov,9,Exec-managerial,White,Male,0,0,40,0
33,Private,9,Craft-repair,White,Male,0,0,45,0
57,Private,6,Transport-moving,White,Male,0,0,60,1
64,Private,9,Craft-repair,White,Male,0,0,40,0
31,Private,8,Farming-fishing,Black,Male,0,0,60,0
55,Self-emp-inc,13,Exec-managerial,White,Male,0,2415,50,1
28,Private,13,Exec-managerial,White,Male,0,0,40,1
59,Private,9,Tech-support,White,Male,0,0,40,1
24,Private,10,Machine-op-inspct,White,Female,7298,0,48,1
34,Private,9,Machine-op-inspct,Black,Female,0,0,40,0
19,Other,10,Other,White,Female,0,0,20,0
45,Private,13,Exec-managerial,White,Male,0,1977,55,1
34,Private,14,Exec-managerial,White,Female,15024,0,45,1
44,Local-gov,11,Craft-repair,White,Male,0,0,40,1
39,Private,9,Other-service,White,Female,0,0,24,0
41,Private,13,Exec-managerial,White,Male,7688,0,45,1
26,Private,10,Sales,White,Male,0,0,18,0
40,Private,14,Prof-specialty,White,Female,0,0,60,1
36,Private,13,Exec-managerial,White,Male,0,0,50,1
48,State-gov,9,Adm-clerical,White,Female,0,0,40,1
36,Private,13,Prof-specialty,White,Female,0,0,35,1
36,Private,10,Sales,White,Male,0,0,50,0
43,Self-emp-inc,16,Prof-specialty,White,Female,0,0,70,1
59,Private,9,Craft-repair,White,Male,0,0,40,0
29,Private,14,Prof-specialty,Asian-Pac-Islander,Female,0,0,40,1
32,Self-emp-not-inc,10,Craft-repair,White,Male,0,0,50,1
21,Private,10,Adm-clerical,Black,Female,0,0,40,0
59,Private,9,Machine-op-inspct,White,Male,0,1887,40,1
48,Private,9,Transport-moving,Black,Male,0,0,99,0
44,Private,13,Exec-managerial,White,Male,0,0,45,0
17,Private,6,Sales,White,Female,0,0,20,0
17,Private,7,Adm-clerical,White,Female,0,0,12,0
23,Private,9,Sales,White,Male,0,0,60,0
27,Private,5,Craft-repair,White,Male,0,0,40,0
17,Private,6,Sales,White,Female,0,0,12,0
28,Private,9,Exec-managerial,White,Female,0,0,45,1
22,Private,10,Other-service,White,Female,0,0,20,0
20,Other,6,Other,White,Male,0,0,40,0
57,Private,9,Machine-op-inspct,Black,Male,0,0,40,1
45,Private,10,Craft-repair,White,Male,0,0,40,0
40,Private,9,Machine-op-inspct,White,Male,0,0,40,1
28,Private,13,Prof-specialty,White,Male,0,0,55,1
23,Private,10,Sales,White,Male,0,0,55,0
33,Private,13,Prof-specialty,White,Female,0,0,40,0
25,Private,14,Sales,White,Male,0,0,55,0
67,Private,9,Other-service,White,Male,0,0,40,0
46,Federal-gov,13,Exec-managerial,White,Male,15024,0,40,1
28,Private,10,Sales,White,Female,0,0,40,0
30,Private,13,Sales,White,Female,3103,0,55,1
53,Private,11,Exec-managerial,White,Male,0,0,45,0
57,Private,3,Transport-moving,Black,Male,0,0,50,0
23,Private,9,Other-service,White,Male,0,0,40,0
41,Local-gov,10,Protective-serv,White,Male,0,0,45,1
48,Private,6,Sales,White,Male,0,0,70,0
44,Private,9,Craft-repair,Black,Male,0,0,40,1
34,Private,13,Exec-managerial,Black,Male,0,0,45,1
19,Private,9,Adm-clerical,White,Female,0,0,15,0
22,Private,10,Other-service,White,Female,0,0,25,0
37,Self-emp-not-inc,13,Exec-managerial,Other,Male,7298,0,50,1
37,Private,13,Exec-managerial,White,Male,4787,0,55,1
30,Self-emp-not-inc,12,Adm-clerical,White,Female,0,0,40,0
20,Other,9,Other,White,Male,0,0,12,0
23,Private,13,Sales,White,Male,0,0,20,0
35,Private,14,Adm-clerical,White,Male,0,0,38,0
38,Self-emp-not-inc,9,Sales,White,Female,0,0,24,1
67,Private,5,Protective-serv,White,Male,0,0,40,0
48,Private,13,Prof-specialty,White,Male,0,1485,40,1
48,Private,3,Machine-op-inspct,Other,Female,0,0,40,0
27,Private,10,Tech-support,White,Male,0,0,65,0
27,Private,10,Adm-clerical,White,Female,0,0,60,0
50,Private,9,Other-service,White,Male,0,0,40,0
28,Private,13,Exec-managerial,White,Male,5178,0,50,1
48,Private,13,Prof-specialty,Black,Female,0,0,40,0
49,State-gov,14,Sales,White,Male,99999,0,80,1
55,Private,11,Prof-specialty,White,Male,0,1977,50,1
53,Private,14,Exec-managerial,White,Male,15024,0,65,1
40,Private,13,Exec-managerial,White,Female,0,0,60,1
22,Private,10,Adm-clerical,White,Female,0,0,35,0
55,Private,10,Sales,White,Male,0,0,56,0
32,Private,9,Adm-clerical,White,Male,0,0,40,0
58,Self-emp-not-inc,14,Sales,White,Male,0,0,40,1
28,Private,9,Sales,White,Male,0,0,48,0
35,Private,9,Machine-op-inspct,White,Female,0,0,40,0
41,Self-emp-inc,15,Prof-specialty,White,Female,0,0,60,1
36,Private,13,Prof-specialty,White,Male,0,1977,45,1
39,State-gov,16,Prof-specialty,Black,Female,0,0,30,0
35,Private,13,Sales,Asian-Pac-Islander,Male,0,0,50,1
59,Private,9,Farming-fishing,White,Male,0,0,48,0
44,Private,13,Adm-clerical,White,Male,0,0,40,1
39,Private,9,Adm-clerical,White,Male,0,0,40,1
40,Private,10,Exec-managerial,White,Male,0,0,45,0
41,Private,10,Craft-repair,White,Male,0,0,40,0
37,Private,9,Craft-repair,White,Male,0,0,40,0
64,Private,9,Sales,White,Male,0,0,50,1
26,Private,9,Machine-op-inspct,White,Male,0,0,40,1
19,Private,9,Sales,White,Male,0,0,25,0
47,Private,2,Other-service,White,Female,0,0,15,0
51,Self-emp-inc,16,Prof-specialty,White,Male,15024,0,40,1
19,State-gov,7,Other-service,White,Male,0,0,30,0
30,Self-emp-not-inc,11,Craft-repair,White,Male,0,0,49,0
56,Private,6,Craft-repair,White,Male,0,0,35,0
34,Private,13,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,1
45,Private,14,Exec-managerial,White,Male,0,0,60,0
52,Local-gov,10,Prof-specialty,White,Female,0,0,40,0
41,Private,9,Exec-managerial,White,Male,0,0,50,0
36,Private,12,Sales,White,Male,0,0,60,1
39,Private,14,Prof-specialty,White,Male,0,0,40,1
63,Private,14,Prof-specialty,White,Female,0,0,40,1
56,Private,9,Other-service,Asian-Pac-Islander,Male,0,0,20,0
44,Private,9,Farming-fishing,Other,Male,0,0,40,0
31,Private,14,Exec-managerial,White,Male,0,2415,70,1
34,Self-emp-not-inc,13,Prof-specialty,White,Male,0,1902,32,1
18,Private,7,Adm-clerical,White,Female,0,0,20,0
33,Private,12,Other-service,White,Female,0,0,15,1
32,Private,9,Handlers-cleaners,White,Male,0,0,38,1
23,Local-gov,13,Prof-specialty,Black,Female,0,0,32,0
61,Private,9,Exec-managerial,White,Male,0,0,50,1
48,Private,9,Machine-op-inspct,Black,Male,0,0,48,0
28,Federal-gov,9,Craft-repair,White,Male,0,0,40,0
36,Private,10,Prof-specialty,White,Male,0,0,50,1
46,Self-emp-not-inc,12,Exec-managerial,White,Male,0,0,60,0
28,Private,12,Tech-support,White,Male,0,1887,70,1
38,Private,9,Exec-managerial,White,Male,0,0,40,0
46,Private,10,Sales,White,Female,0,0,40,1
59,Private,6,Handlers-cleaners,White,Male,3942,0,40,0
50,Private,14,Exec-managerial,White,Male,0,0,55,1
40,Private,9,Craft-repair,White,Male,0,0,40,0
33,Private,13,Exec-managerial,White,Male,0,0,40,1
52,Private,13,Tech-support,White,Female,0,0,50,0
55,Private,13,Sales,White,Male,0,0,40,1
44,Private,9,Transport-moving,White,Male,0,0,40,0
43,Federal-gov,11,Prof-specialty,White,Female,13550,0,40,1
23,Private,9,Adm-clerical,White,Female,0,0,40,0
57,Private,9,Adm-clerical,White,Female,0,0,40,0
29,Private,3,Other-service,White,Male,0,0,35,0
57,Self-emp-inc,9,Sales,White,Male,0,0,45,1
51,Self-emp-inc,9,Exec-managerial,White,Male,7688,0,50,1
26,Local-gov,9,Craft-repair,White,Male,0,0,40,0
54,Self-emp-not-inc,10,Sales,White,Female,0,0,35,0
21,Private,10,Sales,White,Female,0,0,49,0
34,Private,9,Sales,White,Male,0,0,45,1
49,Private,14,Protective-serv,White,Male,15024,0,78,1
33,Private,9,Transport-moving,Asian-Pac-Islander,Male,0,0,40,0
25,Private,10,Sales,White,Male,0,0,20,0
39,Local-gov,9,Adm-clerical,White,Female,0,0,40,0
22,Private,10,Other-service,White,Female,0,0,50,0
42,Private,12,Tech-support,White,Female,0,0,24,0
69,Private,4,Sales,White,Female,0,0,40,0
24,Private,9,Sales,White,Female,0,0,40,1
33,Private,14,Exec-managerial,White,Female,0,0,50,1
30,Private,9,Adm-clerical,White,Female,0,0,35,0
38,Self-emp-inc,10,Exec-managerial,White,Male,0,0,80,1
40,Private,9,Handlers-cleaners,White,Male,15024,0,45,1
50,Self-emp-not-inc,9,Exec-managerial,White,Female,99999,0,60,1
25,Self-emp-not-inc,9,Craft-repair,White,Male,0,0,40,0
50,Private,13,Prof-specialty,White,Male,0,0,43,1
62,Self-emp-not-inc,14,Sales,White,Male,0,0,40,0
43,Private,9,Machine-op-inspct,Black,Female,0,0,40,0
29,State-gov,9,Adm-clerical,White,Female,0,0,40,0
56,Self-emp-not-inc,9,Adm-clerical,White,Female,99999,0,40,1
26,Private,9,Adm-clerical,White,Female,0,0,40,1
45,Private,12,Craft-repair,White,Male,0,0,40,0
43,Self-emp-inc,15,Prof-specialty,Black,Male,0,0,99,1
47,Private,14,Exec-managerial,White,Male,15024,0,50,1
30,Private,5,Other-service,White,Male,0,0,37,0
48,Private,16,Prof-specialty,Asian-Pac-Islander,Male,0,1902,40,1
26,Private,13,Other-service,White,Female,0,0,25,0
35,Private,9,Other-service,White,Male,0,0,60,0
41,Private,9,Sales,White,Male,0,0,30,1
75,Self-emp-inc,9,Exec-managerial,White,Male,0,0,40,1
34,Private,14,Exec-managerial,White,Male,0,0,40,1
35,Private,10,Prof-specialty,White,Male,0,0,40,1
40,Private,9,Adm-clerical,Black,Female,0,0,40,0
29,Private,13,Exec-managerial,White,Female,0,2258,45,1
59,Private,6,Transport-moving,Black,Male,0,0,40,0
65,Private,11,Other-service,White,Male,0,0,35,0
46,Local-gov,14,Exec-managerial,White,Male,0,0,40,1
26,Private,7,Adm-clerical,White,Male,0,0,40,1
20,Private,10,Other-service,White,Female,0,0,25,0
55,Private,11,Machine-op-inspct,White,Male,0,0,45,0
46,Private,13,Adm-clerical,White,Male,0,0,40,1
49,Private,6,Machine-op-inspct,Black,Male,0,0,40,0
36,Other,11,Other,White,Female,0,0,20,0
37,Private,9,Other-service,Black,Female,0,0,40,0
25,Private,14,Farming-fishing,White,Male,0,0,99,1
54,State-gov,16,Exec-managerial,White,Female,0,0,40,1
25,Local-gov,13,Prof-specialty,White,Male,0,0,40,0
43,Other,13,Other,White,Male,0,0,40,0
40,Private,14,Exec-managerial,White,Male,0,0,50,1
35,Private,12,Adm-clerical,White,Female,14344,0,40,1
18,Private,9,Other-service,White,Female,0,0,20,0
74,State-gov,10,Exec-managerial,Black,Male,15831,0,40,1
56,Private,3,Machine-op-inspct,White,Male,0,0,40,0
38,Private,13,Tech-support,White,Male,0,0,45,1
38,Private,12,Sales,White,Female,0,0,45,0
44,Self-emp-inc,10,Sales,White,Male,5178,0,60,1
48,Private,13,Adm-clerical,White,Male,7688,0,40,1
46,Private,10,Sales,White,Male,0,0,45,1
24,Private,9,Handlers-cleaners,White,Male,0,0,40,0
19,Private,9,Craft-repair,White,Male,0,0,40,0
48,Self-emp-not-inc,9,Transport-moving,White,Male,0,0,60,0
46,Private,9,Machine-op-inspct,White,Male,0,0,50,1
43,State-gov,13,Prof-specialty,Black,Female,3103,0,40,1
46,Private,13,Craft-repair,White,Male,0,0,77,0
34,Private,9,Machine-op-inspct,Black,Male,0,0,40,0
40,Private,11,Prof-specialty,White,Male,0,0,40,1
19,Private,4,Machine-op-inspct,White,Male,0,0,40,0
35,Private,13,Prof-specialty,White,Female,0,0,40,0
43,Private,9,Craft-repair,White,Male,0,0,70,0
33,Private,15,Prof-specialty,White,Male,0,0,40,1
47,Local-gov,13,Adm-clerical,White,Female,7688,0,40,1
47,Self-emp-not-inc,10,Sales,White,Male,0,0,40,0
26,Other,13,Other,White,Male,0,2002,40,0
45,Private,10,Machine-op-inspct,White,Male,0,0,44,1
33,Self-emp-not-inc,15,Prof-specialty,White,Female,0,0,55,1
38,Private,9,Adm-clerical,White,Male,0,0,40,1
39,Private,10,Exec-managerial,White,Male,0,0,50,1
42,Self-emp-not-inc,15,Prof-specialty,White,Male,0,1887,40,1
24,Private,7,Craft-repair,Black,Male,0,0,35,0
37,Other,9,Other,White,Male,0,0,55,0
50,Private,4,Other-service,White,Female,0,0,40,0
27,Private,10,Tech-support,Other,Female,0,0,32,0
41,State-gov,13,Adm-clerical,White,Male,0,0,50,1
47,Private,13,Exec-managerial,White,Male,0,2415,60,1
50,Private,9,Craft-repair,White,Male,0,0,60,1
47,Private,13,Exec-managerial,White,Male,0,0,45,1
35,Private,10,Sales,Asian-Pac-Islander,Female,0,1669,45,0
24,Private,11,Exec-managerial,White,Female,0,0,40,0
45,Local-gov,14,Prof-specialty,Black,Male,0,0,10,1
26,Self-emp-not-inc,10,Craft-repair,White,Male,0,0,45,0
37,Private,9,Craft-repair,White,Male,0,0,56,0
42,Private,13,Exec-managerial,White,Male,3137,0,40,0
37,Self-emp-not-inc,9,Exec-managerial,White,Male,0,0,60,1
22,Private,9,Transport-moving,White,Male,0,0,50,1
44,Self-emp-inc,15,Prof-specialty,White,Male,0,0,50,1
43,Self-emp-not-inc,10,Craft-repair,White,Male,0,0,20,0
46,Private,10,Exec-managerial,White,Female,0,0,70,0
24,Private,9,Machine-op-inspct,White,Female,0,0,40,0
55,Private,3,Craft-repair,White,Male,0,0,50,0
28,Private,14,Sales,White,Male,0,0,45,1
52,Private,1,Other-service,White,Male,0,0,40,0
41,Local-gov,12,Tech-support,White,Male,0,0,40,1
42,State-gov,10,Exec-managerial,White,Female,0,0,40,1
36,Private,14,Prof-specialty,White,Male,0,1977,50,1
37,Private,9,Machine-op-inspct,White,Male,0,0,40,0
26,Private,13,Sales,White,Male,0,0,10,0
40,Private,9,Machine-op-inspct,White,Male,0,0,40,0
29,Private,13,Craft-repair,White,Male,0,0,50,1
49,Local-gov,12,Adm-clerical,White,Male,0,0,40,0
25,Private,10,Adm-clerical,White,Female,0,0,40,0
49,Private,10,Adm-clerical,White,Female,3674,0,40,0
21,Private,9,Craft-repair,White,Male,0,0,40,0
29,Private,9,Transport-moving,Black,Male,0,0,40,0
44,Local-gov,14,Prof-specialty,White,Female,0,0,50,0
23,Private,9,Craft-repair,White,Male,0,0,40,0
32,Private,15,Sales,White,Male,15024,0,60,1
22,Private,10,Craft-repair,White,Female,0,0,35,0
35,Private,10,Exec-managerial,White,Female,0,0,40,0
25,Private,10,Transport-moving,White,Male,10520,0,50,1
27,Local-gov,13,Prof-specialty,White,Female,0,0,60,0
48,Private,13,Sales,White,Male,0,0,25,1
52,Private,14,Exec-managerial,White,Male,0,1902,50,1
29,Private,13,Prof-specialty,White,Female,0,1902,50,1
35,Private,11,Sales,White,Male,0,0,50,1
22,Private,11,Prof-specialty,White,Male,0,0,30,0
43,Private,10,Machine-op-inspct,White,Male,0,0,40,1
26,Private,9,Machine-op-inspct,Black,Female,0,0,40,0
49,Private,9,Machine-op-inspct,White,Male,5178,0,40,1
56,Self-emp-inc,10,Exec-managerial,White,Male,15024,0,40,1
31,Private,13,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,0
19,Other,6,Other,Black,Male,0,0,25,0
61,Other,15,Other,White,Male,0,0,40,1
31,Federal-gov,13,Exec-managerial,White,Female,0,0,45,0
44,Self-emp-not-inc,8,Handlers-cleaners,Black,Male,0,0,40,1
30,Private,13,Exec-managerial,White,Male,0,0,55,1
27,Private,9,Handlers-cleaners,White,Male,0,0,40,0
50,Local-gov,14,Prof-specialty,White,Male,0,0,40,0
34,Private,13,Exec-managerial,White,Male,0,0,40,1
34,Private,6,Other-service,Black,Female,0,0,30,0
28,Private,10,Sales,Black,Male,0,0,40,0
31,Federal-gov,9,Adm-clerical,White,Female,0,0,40,1
40,Private,9,Exec-managerial,White,Male,0,1485,40,1
40,Private,10,Adm-clerical,Black,Male,0,0,55,1
66,Private,10,Prof-specialty,White,Female,0,0,40,1
64,Local-gov,9,Craft-repair,White,Male,0,0,99,0
35,Private,6,Other-service,Black,Female,0,1980,40,0
67,Other,13,Other,White,Male,9386,0,60,1
44,Federal-gov,13,Tech-support,White,Male,0,2258,40,1
35,Private,14,Exec-managerial,White,Male,0,0,50,1
36,Private,7,Transport-moving,White,Female,0,0,40,0
21,Private,9,Machine-op-inspct,Black,Male,0,0,1,0
33,Private,6,Other-service,White,Female,0,0,45,0
19,Private,6,Machine-op-inspct,White,Female,0,0,40,0
41,Local-gov,13,Craft-repair,Black,Male,0,0,40,0
29,Self-emp-not-inc,13,Prof-specialty,White,Male,0,0,40,0
29,Private,16,Prof-specialty,White,Female,0,0,80,0
20,Private,10,Adm-clerical,White,Female,0,0,30,0
36,Federal-gov,13,Adm-clerical,White,Male,0,1848,55,1
47,Private,12,Adm-clerical,White,Female,0,0,40,0
51,Private,4,Prof-specialty,White,Male,0,0,40,0
36,Private,14,Exec-managerial,White,Male,0,0,70,1
20,Private,9,Handlers-cleaners,White,Male,0,0,28,0
43,Federal-gov,10,Tech-support,White,Male,0,0,75,1
23,Private,13,Prof-specialty,White,Male,0,0,60,0
51,Self-emp-inc,10,Exec-managerial,White,Male,0,0,50,1
48,Federal-gov,10,Adm-clerical,White,Male,0,0,30,0
51,Private,13,Exec-managerial,White,Male,0,0,40,1
46,Local-gov,12,Exec-managerial,White,Male,0,0,44,1
20,Private,10,Prof-specialty,White,Male,0,0,12,0
